benchname,class,runtime
vrf_verify_ct,0,1043888
vrf_verify_ct,0,1050013
vrf_verify_ct,0,1040221
vrf_verify_ct,0,1052263
vrf_verify_ct,0,1069764
vrf_verify_ct,0,1059430
vrf_verify_ct,0,1073430
vrf_verify_ct,0,1042138
vrf_verify_ct,0,1044055
vrf_verify_ct,0,1042180
vrf_verify_ct,0,1311975
vrf_verify_ct,0,1218308
vrf_verify_ct,0,1140932
vrf_verify_ct,0,1036222
vrf_verify_ct,0,1037472
vrf_verify_ct,0,1040305
vrf_verify_ct,0,1040888
vrf_verify_ct,0,1040472
vrf_verify_ct,0,1034555
vrf_verify_ct,0,1042846
vrf_verify_ct,0,1040763
vrf_verify_ct,0,1045930
vrf_verify_ct,0,1041264
vrf_verify_ct,0,1038680
vrf_verify_ct,0,1103681
vrf_verify_ct,0,1031847
vrf_verify_ct,0,1050764
vrf_verify_ct,0,1073847
vrf_verify_ct,0,1039721
vrf_verify_ct,0,1065097
vrf_verify_ct,0,1044347
vrf_verify_ct,0,1047805
vrf_verify_ct,0,1038180
vrf_verify_ct,0,1038388
vrf_verify_ct,0,1039513
vrf_verify_ct,0,1036639
vrf_verify_ct,0,1069138
vrf_verify_ct,0,1039389
vrf_verify_ct,0,1044846
vrf_verify_ct,0,1073305
vrf_verify_ct,0,1040639
vrf_verify_ct,0,1050305
vrf_verify_ct,0,1052805
vrf_verify_ct,0,1048471
vrf_verify_ct,0,1051805
vrf_verify_ct,0,1066639
vrf_verify_ct,0,1060139
vrf_verify_ct,0,1052305
vrf_verify_ct,0,1064264
vrf_verify_ct,0,1078639
vrf_verify_ct,0,1068389
vrf_verify_ct,0,1122348
vrf_verify_ct,0,1082264
vrf_verify_ct,0,1042055
vrf_verify_ct,0,1045055
vrf_verify_ct,0,1034596
vrf_verify_ct,0,1039888
vrf_verify_ct,0,1033305
vrf_verify_ct,0,1060639
vrf_verify_ct,0,1045597
vrf_verify_ct,0,1069055
vrf_verify_ct,0,1040972
vrf_verify_ct,0,1079514
vrf_verify_ct,0,1044014
vrf_verify_ct,0,1051221
vrf_verify_ct,0,1040221
vrf_verify_ct,0,1068305
vrf_verify_ct,0,1038638
vrf_verify_ct,0,1035347
vrf_verify_ct,0,1060305
vrf_verify_ct,0,1051471
vrf_verify_ct,0,1035472
vrf_verify_ct,0,1062180
vrf_verify_ct,0,1039680
vrf_verify_ct,0,1068222
vrf_verify_ct,0,1048972
vrf_verify_ct,0,1035555
vrf_verify_ct,0,1033597
vrf_verify_ct,0,1039889
vrf_verify_ct,0,1038430
vrf_verify_ct,0,1058597
vrf_verify_ct,0,1047597
vrf_verify_ct,0,1040805
vrf_verify_ct,0,1038346
vrf_verify_ct,0,1039264
vrf_verify_ct,0,1047597
vrf_verify_ct,0,1038680
vrf_verify_ct,0,1051097
vrf_verify_ct,0,1039472
vrf_verify_ct,0,1055888
vrf_verify_ct,0,1069805
vrf_verify_ct,0,1041471
vrf_verify_ct,0,1043638
vrf_verify_ct,0,1037346
vrf_verify_ct,0,1033930
vrf_verify_ct,0,1038971
vrf_verify_ct,0,1035055
vrf_verify_ct,0,1039763
vrf_verify_ct,0,1034305
vrf_verify_ct,0,1035055
vrf_verify_ct,0,1040805
vrf_verify_ct,0,1034805
vrf_verify_ct,0,1040430
vrf_verify_ct,0,1041263
vrf_verify_ct,0,1032638
vrf_verify_ct,0,1037680
vrf_verify_ct,0,1069555
vrf_verify_ct,0,1046555
vrf_verify_ct,0,1037305
vrf_verify_ct,0,1040722
vrf_verify_ct,0,1036013
vrf_verify_ct,0,1045638
vrf_verify_ct,0,1036139
vrf_verify_ct,0,1040846
vrf_verify_ct,0,1040972
vrf_verify_ct,0,1060264
vrf_verify_ct,0,1039763
vrf_verify_ct,0,1043554
vrf_verify_ct,0,1039138
vrf_verify_ct,0,1039763
vrf_verify_ct,0,1069347
vrf_verify_ct,0,1070972
vrf_verify_ct,0,1079013
vrf_verify_ct,0,1053139
vrf_verify_ct,0,1041555
vrf_verify_ct,0,1118056
vrf_verify_ct,0,1073430
vrf_verify_ct,0,1044805
vrf_verify_ct,0,1059097
vrf_verify_ct,0,1044014
vrf_verify_ct,0,1035471
vrf_verify_ct,0,1039013
vrf_verify_ct,0,1038763
vrf_verify_ct,0,1041138
vrf_verify_ct,0,1035638
vrf_verify_ct,0,1052139
vrf_verify_ct,0,1045263
vrf_verify_ct,0,1053763
vrf_verify_ct,0,1055888
vrf_verify_ct,0,1044055
vrf_verify_ct,0,1047638
vrf_verify_ct,0,1036013
vrf_verify_ct,0,1035347
vrf_verify_ct,0,1080389
vrf_verify_ct,0,1045013
vrf_verify_ct,0,1054555
vrf_verify_ct,0,1043847
vrf_verify_ct,0,1065847
vrf_verify_ct,0,1043722
vrf_verify_ct,0,1048555
vrf_verify_ct,0,1042389
vrf_verify_ct,0,1037513
vrf_verify_ct,0,1047263
vrf_verify_ct,0,1040888
vrf_verify_ct,0,1039138
vrf_verify_ct,0,1063513
vrf_verify_ct,0,1035263
vrf_verify_ct,0,1058680
vrf_verify_ct,0,1036971
vrf_verify_ct,0,1039347
vrf_verify_ct,0,1039180
vrf_verify_ct,0,1040013
vrf_verify_ct,0,1076888
vrf_verify_ct,0,1040263
vrf_verify_ct,0,1042847
vrf_verify_ct,0,1075930
vrf_verify_ct,0,1038680
vrf_verify_ct,0,1033638
vrf_verify_ct,0,1064347
vrf_verify_ct,0,1038847
vrf_verify_ct,0,1068097
vrf_verify_ct,0,1037472
vrf_verify_ct,0,1050055
vrf_verify_ct,0,1045388
vrf_verify_ct,0,1052305
vrf_verify_ct,0,1041596
vrf_verify_ct,0,1036513
vrf_verify_ct,0,1039638
vrf_verify_ct,0,1036930
vrf_verify_ct,0,1038096
vrf_verify_ct,0,1037014
vrf_verify_ct,0,1080139
vrf_verify_ct,0,1041971
vrf_verify_ct,0,1108222
vrf_verify_ct,0,1059638
vrf_verify_ct,0,1048888
vrf_verify_ct,0,1047597
vrf_verify_ct,0,1039597
vrf_verify_ct,0,1040763
vrf_verify_ct,0,1049097
vrf_verify_ct,0,1047556
vrf_verify_ct,0,1057305
vrf_verify_ct,0,1043305
vrf_verify_ct,0,1051639
vrf_verify_ct,0,1069263
vrf_verify_ct,0,1057847
vrf_verify_ct,0,1051180
vrf_verify_ct,0,1043221
vrf_verify_ct,0,1040180
vrf_verify_ct,0,1039180
vrf_verify_ct,0,1043596
vrf_verify_ct,0,1062972
vrf_verify_ct,0,1037222
vrf_verify_ct,0,1059097
vrf_verify_ct,0,1042430
vrf_verify_ct,0,1038430
vrf_verify_ct,0,1079722
vrf_verify_ct,0,1076764
vrf_verify_ct,0,1040013
vrf_verify_ct,0,1099514
vrf_verify_ct,0,1049222
vrf_verify_ct,0,1041847
vrf_verify_ct,0,1038555
vrf_verify_ct,0,1040930
vrf_verify_ct,0,1044221
vrf_verify_ct,0,1037472
vrf_verify_ct,0,1041972
vrf_verify_ct,0,1033305
vrf_verify_ct,0,1098764
vrf_verify_ct,0,1039846
vrf_verify_ct,0,1057847
vrf_verify_ct,0,1041763
vrf_verify_ct,0,1063222
vrf_verify_ct,0,1193224
vrf_verify_ct,0,1048389
vrf_verify_ct,0,1035555
vrf_verify_ct,0,1041929
vrf_verify_ct,0,1039972
vrf_verify_ct,0,1037055
vrf_verify_ct,0,1055805
vrf_verify_ct,0,1041721
vrf_verify_ct,0,1034889
vrf_verify_ct,0,1041596
vrf_verify_ct,0,1037763
vrf_verify_ct,0,1046347
vrf_verify_ct,0,1062389
vrf_verify_ct,0,1096431
vrf_verify_ct,0,1040222
vrf_verify_ct,0,1089347
vrf_verify_ct,0,1085305
vrf_verify_ct,0,1037597
vrf_verify_ct,0,1067180
vrf_verify_ct,0,1040471
vrf_verify_ct,0,1169974
vrf_verify_ct,0,1046388
vrf_verify_ct,0,1104305
vrf_verify_ct,0,1044055
vrf_verify_ct,0,1142556
vrf_verify_ct,0,1040055
vrf_verify_ct,0,1035096
vrf_verify_ct,0,1037555
vrf_verify_ct,0,1042222
vrf_verify_ct,0,1038221
vrf_verify_ct,0,1039472
vrf_verify_ct,0,1062263
vrf_verify_ct,0,1040346
vrf_verify_ct,0,1055722
vrf_verify_ct,0,1079555
vrf_verify_ct,0,1061264
vrf_verify_ct,0,1078638
vrf_verify_ct,0,1043097
vrf_verify_ct,0,1040680
vrf_verify_ct,0,1046680
vrf_verify_ct,0,1044389
vrf_verify_ct,0,1046055
vrf_verify_ct,0,1044555
vrf_verify_ct,0,1030429
vrf_verify_ct,0,1046305
vrf_verify_ct,0,1134765
vrf_verify_ct,0,1039263
vrf_verify_ct,0,1046888
vrf_verify_ct,0,1065097
vrf_verify_ct,0,1035555
vrf_verify_ct,0,1036888
vrf_verify_ct,0,1038597
vrf_verify_ct,0,1051763
vrf_verify_ct,0,1051846
vrf_verify_ct,0,1038430
vrf_verify_ct,0,1038305
vrf_verify_ct,0,1045264
vrf_verify_ct,0,1033847
vrf_verify_ct,0,1046639
vrf_verify_ct,0,1038430
vrf_verify_ct,0,1034555
vrf_verify_ct,0,1043597
vrf_verify_ct,0,1032555
vrf_verify_ct,0,1082389
vrf_verify_ct,0,1055722
vrf_verify_ct,0,1068472
vrf_verify_ct,0,1043305
vrf_verify_ct,0,1049305
vrf_verify_ct,0,1037055
vrf_verify_ct,0,1031888
vrf_verify_ct,0,1085014
vrf_verify_ct,0,1044513
vrf_verify_ct,0,1067055
vrf_verify_ct,0,1044347
vrf_verify_ct,0,1050680
vrf_verify_ct,0,1138223
vrf_verify_ct,0,1077972
vrf_verify_ct,0,1034096
vrf_verify_ct,0,1038055
vrf_verify_ct,0,1131723
vrf_verify_ct,0,1036846
vrf_verify_ct,0,1172390
vrf_verify_ct,0,1067222
vrf_verify_ct,0,1033305
vrf_verify_ct,0,1040180
vrf_verify_ct,0,1042055
vrf_verify_ct,0,1039430
vrf_verify_ct,0,1039930
